A�O;MES;CODIGO_RNT;COD_MUN;COD_DPTO;ESTADO_RNT;RAZON_SOCIAL_ESTABLECIMIENTO;DEPARTAMENTO;MUNICIPIO;CATEGORIA;SUB_CATEGORIA;HABITACIONES;CAMAS;NUM_EMP
2024;4;206624;13001;13;ACTIVO;PAOLA ANDREA CORTES MARTINEZ;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;4;0
2024;4;206645;13001;13;ACTIVO;JULIO  SANDOVAL CABRERA;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;4;0
2024;4;206657;13001;13;ACTIVO;GLOBAL CARIBEANN ENTERTAINMENT SAS;BOLIVAR;CARTAGENA;AGENCIAS DE VIAJES;AGENCIA DE VIAJES OPERADORAS;0;0;0
2024;4;206681;13001;13;ACTIVO;LUISA FERNANDA GUETE LOZANO;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;10;0
2024;4;206687;13001;13;ACTIVO;OMG EXPERIENCE S.A.S.;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;2;0
2024;4;206726;13001;13;ACTIVO;OMAR CRISANTO PARRA MARTINEZ;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;2;0
2024;4;206735;13001;13;ACTIVO;ORTEGA COGOLLO YIDIA ESTELLA;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;2;5;0
2024;4;206739;13001;13;ACTIVO;ORTEGA COGOLLO YIDIA ESTELLA;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;3;5;0
2024;4;206740;13001;13;ACTIVO;LONGEVITA SAS;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;OTRO TIPO DE VIVIENDA TURISTICA;3;3;0
2024;4;206743;13001;13;ACTIVO;SPOT DIVING;BOLIVAR;CARTAGENA;AGENCIAS DE VIAJES;AGENCIA DE VIAJES Y DE TURISMO;0;0;0
2024;4;206752;13001;13;ACTIVO;ZARATE ZABALETA ELIANETH;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;4;0
2024;4;206760;13001;13;ACTIVO;MARIBEL  GARRIDO OCAMPO;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;2;5;0
2024;4;206763;13001;13;ACTIVO;MARIBEL  GARRIDO OCAMPO;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;2;5;0
2024;4;206766;13001;13;ACTIVO;MARELVIS  RESTAN MENDEZ;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;2;4;0
2024;4;206767;13001;13;ACTIVO;ANDRES FELIPE CAÑON REYES;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;3;0
2024;4;206769;13001;13;ACTIVO;MARELVIS  RESTAN MENDEZ;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;2;0
2024;4;206792;13001;13;ACTIVO;HERNAN ANDRES SANTACRUZ AMELL;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;4;3;0
2024;4;206804;13001;13;ACTIVO;V&D CARTAGENA TOURS;BOLIVAR;CARTAGENA;AGENCIAS DE VIAJES;AGENCIA DE VIAJES OPERADORAS;0;0;1
2024;4;206805;13001;13;ACTIVO;CITY JUAN VALDEZ;BOLIVAR;CARTAGENA;AGENCIAS DE VIAJES;AGENCIA DE VIAJES Y DE TURISMO;0;0;1
2024;4;206813;13001;13;ACTIVO;TORRENTE HANNA RANDY JAVIER;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;CASA TURISTICA;1;3;0
2024;4;206818;13001;13;ACTIVO;JONATHAN   ACHAIBAR;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;2;5;0
2024;4;206820;13001;13;ACTIVO;JAIR  MANUEL  BELTRAN  BELTRAN;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;3;0
2024;4;206822;13001;13;ACTIVO;MARIA CAMILA ZABALETA PADILLA;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;4;0
2024;4;206823;13001;13;ACTIVO;MARIA CAMILA ZABALETA PADILLA;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;6;0
2024;4;206824;13001;13;ACTIVO;GRUPO VITA S.A.S.;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;2;10;0
2024;4;206833;13001;13;ACTIVO;INVERSIONES PLAYA GOURMET CARTAGENA;BOLIVAR;CARTAGENA;ESTABLECIMIENTOS DE GASTRONOMIA;RESTAURANTE;0;0;6
2024;4;206839;13001;13;ACTIVO;AIXA LORENA MOSQUERA ABADIA;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;6;0
2024;4;206841;13001;13;ACTIVO;VAQUERO'S DEL MAR;BOLIVAR;CARTAGENA;AGENCIAS DE VIAJES;AGENCIA DE VIAJES Y DE TURISMO;0;0;0
2024;4;206842;13001;13;ACTIVO;FERTOURS;BOLIVAR;CARTAGENA;AGENCIAS DE VIAJES;AGENCIA DE VIAJES Y DE TURISMO;0;0;1
2024;4;206843;13001;13;ACTIVO;CARAMBA TOURS;BOLIVAR;CARTAGENA;AGENCIAS DE VIAJES;AGENCIA DE VIAJES Y DE TURISMO;0;0;1
